timezone;offset;offsetDst;offsetInH;offsetDstInH
Antarctica/Mawson;18000;18000;5;5
Antarctica/McMurdo;43200;46800;12;13
Antarctica/Palmer;-10800;-10800;-3;-3
Antarctica/Rothera;-10800;-10800;-3;-3
Antarctica/South_Pole;43200;46800;12;13
Antarctica/Syowa;10800;10800;3;3
Antarctica/Troll;0;7200;0;2
Antarctica/Vostok;21600;21600;6;6
Arctic/Longyearbyen;3600;7200;1;2
Asia/Aden;10800;10800;3;3
Asia/Almaty;21600;21600;6;6
Asia/Amman;7200;10800;2;3
Asia/Anadyr;43200;43200;12;12
Asia/Aqtau;18000;18000;5;5
Asia/Aqtobe;18000;18000;5;5
Asia/Ashgabat;18000;18000;5;5
Asia/Ashkhabad;18000;18000;5;5
Asia/Atyrau;18000;18000;5;5
Asia/Baghdad;10800;10800;3;3
Asia/Bahrain;10800;10800;3;3
Asia/Baku;14400;18000;4;5
Asia/Bangkok;25200;25200;7;7
Asia/Barnaul;25200;25200;7;7
Asia/Beirut;7200;10800;2;3
Asia/Bishkek;21600;21600;6;6
Asia/Brunei;28800;28800;8;8
Asia/Calcutta;19800;19800;5.5;5.5
Asia/Chita;28800;28800;8;8
Asia/Choibalsan;28800;32400;8;9
Asia/Chongqing;28800;28800;8;8
Asia/Chungking;28800;28800;8;8
Asia/Colombo;19800;19800;5.5;5.5
Asia/Dacca;21600;21600;6;6
Asia/Damascus;7200;10800;2;3
Asia/Dhaka;21600;21600;6;6
Asia/Dili;32400;32400;9;9
Asia/Dubai;14400;14400;4;4
Asia/Dushanbe;18000;18000;5;5
Asia/Gaza;7200;10800;2;3
Asia/Harbin;28800;28800;8;8
Asia/Hebron;7200;10800;2;3
Asia/Ho_Chi_Minh;25200;25200;7;7
Asia/Hong_Kong;28800;28800;8;8
Asia/Hovd;25200;28800;7;8
Asia/Irkutsk;28800;28800;8;8
Asia/Istanbul;7200;10800;2;3
Asia/Jakarta;25200;25200;7;7
Asia/Jayapura;32400;32400;9;9
Asia/Jerusalem;7200;10800;2;3
Asia/Kabul;16200;16200;4;4
Asia/Kamchatka;43200;43200;12;12
Asia/Karachi;18000;18000;5;5
Asia/Kashgar;21600;21600;6;6
Asia/Kathmandu;20700;20700;6;6
Asia/Katmandu;20700;20700;6;6
Asia/Khandyga;32400;32400;9;9
Asia/Kolkata;19800;19800;5.5;5.5
Asia/Krasnoyarsk;25200;25200;7;7
Asia/Kuala_Lumpur;28800;28800;8;8
Asia/Kuching;28800;28800;8;8
Asia/Kuwait;10800;10800;3;3
Asia/Macao;28800;28800;8;8
Asia/Macau;28800;28800;8;8
Asia/Magadan;36000;36000;10;10
Asia/Makassar;28800;28800;8;8
Asia/Manila;28800;28800;8;8
Asia/Muscat;14400;14400;4;4
Asia/Nicosia;7200;10800;2;3
Asia/Novokuznetsk;25200;25200;7;7
Asia/Novosibirsk;21600;21600;6;6
Asia/Omsk;21600;21600;6;6
Asia/Oral;18000;18000;5;5
Asia/Phnom_Penh;25200;25200;7;7
Asia/Pontianak;25200;25200;7;7
Asia/Pyongyang;30600;30600;8;8
Asia/Qatar;10800;10800;3;3
Asia/Qostanay;21600;21600;6;6
Asia/Qyzylorda;21600;21600;6;6
Asia/Rangoon;23400;23400;6.5;6.5
Asia/Riyadh;10800;10800;3;3
Asia/Riyadh87;10800;10800;3;3
Asia/Riyadh88;10800;10800;3;3
Asia/Riyadh89;10800;10800;3;3
Asia/Saigon;25200;25200;7;7
Asia/Sakhalin;36000;36000;10;10
Asia/Samarkand;18000;18000;5;5
Asia/Seoul;32400;32400;9;9
Asia/Shanghai;28800;28800;8;8
Asia/Singapore;28800;28800;8;8
Asia/Srednekolymsk;39600;39600;11;11
Asia/Taipei;28800;28800;8;8
Asia/Tashkent;18000;18000;5;5
Asia/Tbilisi;14400;14400;4;4
Asia/Tehran;12600;16200;3;4
Asia/Tel_Aviv;7200;10800;2;3
Asia/Thimbu;21600;21600;6;6
Asia/Thimphu;21600;21600;6;6
Asia/Tokyo;32400;32400;9;9
Asia/Ujung_Pandang;28800;28800;8;8
Asia/Ulaanbaatar;28800;32400;8;9
Asia/Ulan_Bator;28800;32400;8;9
Asia/Urumqi;21600;21600;6;6
Asia/Vientiane;25200;25200;7;7
Asia/Vladivostok;36000;36000;10;10
Asia/Yakutsk;32400;32400;9;9
Asia/Yangon;23400;23400;6.5;6.5
Asia/Yekaterinburg;18000;18000;5;5
Asia/Yerevan;14400;14400;4;4
Atlantic/Azores;-3600;0;-1;0
Atlantic/Bermuda;-14400;-10800;-4;-3
Atlantic/Canary;0;3600;0;1
Atlantic/Cape_Verde;-3600;-3600;-1;-1
Atlantic/Faeroe;0;3600;0;1
Atlantic/Faroe;0;3600;0;1
Atlantic/Jan_Mayen;3600;7200;1;2
Atlantic/Madeira;0;3600;0;1
Atlantic/Reykjavik;0;0;0;0
Atlantic/South_Georgia;-7200;-7200;-2;-2
Atlantic/St_Helena;0;0;0;0
Atlantic/Stanley;-10800;-10800;-3;-3
Australia/ACT;36000;39600;10;11
Australia/Adelaide;34200;37800;9;10
Australia/Brisbane;36000;36000;10;10
Australia/Broken_Hill;34200;37800;9;10
Australia/Canberra;36000;39600;10;11
Australia/Currie;36000;39600;10;11
Australia/Darwin;34200;34200;9;9
Australia/Eucla;31500;31500;9;9
Australia/Hobart;36000;39600;10;11
Australia/LHI;37800;39600;10;11
Australia/Lindeman;36000;36000;10;10
Australia/Lord_Howe;37800;39600;10;11
Australia/Melbourne;36000;39600;10;11
Australia/NSW;36000;39600;10;11
Australia/North;34200;34200;9;9
Australia/Perth;28800;28800;8;8
Australia/Queensland;36000;36000;10;10
Australia/South;34200;37800;9;10
Australia/Sydney;36000;39600;10;11
Australia/Tasmania;36000;39600;10;11
Australia/Victoria;36000;39600;10;11
Australia/West;28800;28800;8;8
Australia/Yancowinna;34200;37800;9;10
Brazil/Acre;-18000;-18000;-5;-5
Brazil/DeNoronha;-7200;-7200;-2;-2
Brazil/East;-10800;-7200;-3;-2
Brazil/West;-14400;-14400;-4;-4
CET;3600;7200;1;2
CST6CDT;-21600;-18000;-6;-5
Canada/Atlantic;-14400;-10800;-4;-3
Canada/Central;-21600;-18000;-6;-5
Canada/East-Saskatchewan;-21600;-21600;-6;-6
Canada/Eastern;-18000;-14400;-5;-4
Canada/Mountain;-25200;-21600;-7;-6
Canada/Newfoundland;-12600;-9000;-3;-2
Canada/Pacific;-28800;-25200;-8;-7
Canada/Saskatchewan;-21600;-21600;-6;-6
Canada/Yukon;-28800;-25200;-8;-7
Chile/Continental;-10800;-10800;-3;-3
Chile/EasterIsland;-18000;-18000;-5;-5
Cuba;-18000;-14400;-5;-4
EET;7200;10800;2;3
EST;-18000;-18000;-5;-5
EST5EDT;-18000;-14400;-5;-4
Egypt;7200;7200;2;2
Eire;0;3600;0;1
Etc/GMT;0;0;0;0
Etc/GMT+0;0;0;0;0
Etc/GMT+1;-3600;-3600;-1;-1
Etc/GMT+10;-36000;-36000;-10;-10
Etc/GMT+11;-39600;-39600;-11;-11
Etc/GMT+12;-43200;-43200;-12;-12
Etc/GMT+2;-7200;-7200;-2;-2
Etc/GMT+3;-10800;-10800;-3;-3
Etc/GMT+4;-14400;-14400;-4;-4
Etc/GMT+5;-18000;-18000;-5;-5
Etc/GMT+6;-21600;-21600;-6;-6
Etc/GMT+7;-25200;-25200;-7;-7
Etc/GMT+8;-28800;-28800;-8;-8
Etc/GMT+9;-32400;-32400;-9;-9
Etc/GMT-0;0;0;0;0
Etc/GMT-1;3600;3600;1;1
